position_title,company_name,company_category,recruit_provider,annual_salary,career,education,working_condition,location,deadline_date,registration_date
[웨스틴 서울 파르나스호텔 ] 시설관리 방재기사 채용(교대근무),자이에스앤디㈜,"['대기업', '코스피']",정보제공처 잡코리아,"연봉 3,756 만원 ~ 3,756 만원",경력무관,고졸,기타,서울 강남구,2026-09-02,2026-08-03
LG전자공식인증점 (주)LG공식접수센터 가전구독 온라인 세일즈 매니...,공식접수센터㈜,[],정보제공처 잡코리아,"연봉 3,500 만원 ~ 3,500 만원",경력무관,학력무관,주5일,서울 성동구 등,2026-09-02,2026-08-03
하이호금속(주) 영업사원 [신입 및 경력 사원 채용],하이호금속(주),['중견'],정보제공처 사람인,"연봉 4,423 만원 ~ 4,423 만원",경력무관,대졸(4년),주5일,서울 강남구,2026-08-24,2026-08-03
카드하비코리아 콘텐츠 마케터 신입,카드하비코리아(주),[],정보제공처 사람인,"연봉 3,000 만원 ~ 3,000 만원",경력무관,학력무관,,서울 강남구,2026-09-02,2026-08-03
2026년 투어로 신입 여행사OP 채용,(주) 투어로,[],정보제공처 사람인,"연봉 3,500 만원 ~ 3,500 만원",신입,대졸(2~3년),주5일,서울 강남구,2026-09-02,2026-08-03
2026년 골프투어로 신입 여행사OP 채용,(주)골프투어로,[],정보제공처 사람인,"연봉 3,500 만원 ~ 3,500 만원",신입,대졸(2~3년),주5일,서울 강남구,2026-09-02,2026-08-03
[강남역 모발이식센터/주5일] 수술실(경력무관) 간호조무사 모집,강남로미모의원,[],정보제공처 사람인,"연봉 3,300 만원 ~ 3,300 만원",경력무관,학력무관,,서울 강남구,2026-09-02,2026-08-03
[압구정 리노보클리닉] 피부관리사 모집합니다,리노보의원,[],정보제공처 잡코리아,"연봉 3,700 만원 ~ 3,700 만원",경력무관,고졸,기타,서울 강남구 등,2026-09-02,2026-08-03
[종로엠스쿨] 프랜차이즈 가맹 및 사업을 발전시킬 인재를 구합니다.,교육다움,[],정보제공처 잡코리아,"연봉 5,000 만원 ~ 5,000 만원",경력,대졸(2~3년),주5일,서울 서초구 등,2026-08-31,2026-08-03
영업팀 직원(경력) 채용공고,신화팝빌리지,[],정보제공처 사람인,"연봉 4,200 만원 ~ 4,200 만원",경력3년,대졸(2~3년),주5일,서울 강남구,2026-09-02,2026-08-03
[SE정규직] 강남권 삼성그룹 및 대형빌딩 첨단 보안요원 채용,(주)에스텍시스템,['중견'],정보제공처 사람인,"연봉 3,400 만원 ~ 3,400 만원",경력무관,고졸,기타,서울 등,2026-08-14,2026-08-03
압구정로데오 올데이 브런치 다이닝 `마일드 하이 클럽` 키친 파트 ...,마일드하이클럽㈜,[],정보제공처 잡코리아,"연봉 3,420 만원 ~ 3,960 만원",경력,학력무관,주5일,서울 강남구,2026-09-02,2026-08-03
부동산 외근 직원 모집,법무법인(유한)한길 서울동부분사무소,[],정보제공처 잡코리아,"연봉 3,500 만원 ~ 3,500 만원",경력무관,학력무관,주5일,서울 강남구,2026-09-02,2026-08-03
[맘잉 포레스트 in 청담] 영어교육팀 정직원 채용,(주)맘잉,[],정보제공처 사람인,"연봉 3,000 만원 ~ 3,000 만원",경력무관,대졸(2~3년),,서울 강남구,2026-08-13,2026-08-03
수입 식품 검역 대행 및 컨설팅 업무,(주)메가몬드,[],정보제공처 사람인,"연봉 3,000 만원 ~ 3,000 만원",경력무관,대졸(2~3년),주5일,서울 강남구,2026-08-31,2026-08-03
치과 데스크 코디네이터 채용 (치과데스크 경력자 최우선 채용),서울리마치과,[],정보제공처 잡코리아,"연봉 3,200 만원 ~ 4,200 만원",경력1년,고졸,기타,서울 서초구 등,2026-08-31,2026-08-03
[재택근무] Business Development Represent...,풀리어센트코리아,[],정보제공처 사람인,"연봉 3,000 만원 ~ 3,000 만원",경력무관,대졸(2~3년),주5일,서울 강남구,2026-09-02,2026-08-03
[테헤란컴퍼니그룹] 브랜드마케터/퍼포먼스마케터 채용,(주)테헤란컴퍼니그룹,[],정보제공처 인크루트,"연봉 3,500 만원 ~ 5,000 만원",경력2년,대졸(4년),,서울 강남구,2026-09-02,2026-08-03
물류팀 납품 배송 직원모집,"UCT MEDICAL CO.,LTD",[],정보제공처 잡코리아,"연봉 3,000 만원 ~ 3,000 만원",신입/경력,대졸(2~3년),주5일,서울 송파구 등,2026-08-17,2026-08-03
[UH SUITE] 객실관리 총괄매니저,㈜유에이치씨,[],정보제공처 잡코리아,"연봉 3,600 만원 ~ 3,600 만원",경력5년,대졸(2~3년),주5일,서울 중구 등,2026-09-02,2026-08-03
[강남권]베이커리/케이크 파트 생산관리 매니저 채용,주식회사 디앤에이치피플,[],정보제공처 잡코리아,"연봉 3,500 만원 ~ 4,000 만원",경력,학력무관,기타,서울 강남구,2026-09-02,2026-08-03
[신사역1분/복지우수] 로담한의원 글로벌센터 상담실장 모집,로담한의원,[],정보제공처 잡코리아,"연봉 4,500 만원 ~ 4,500 만원",경력,학력무관,주5일,서울 강남구,2026-09-02,2026-08-03
